date,text,pos_tagged
2022-03-30 21:07:00,나같은 개미도 1400주 넘게 들고 있는데,"[('나', 'Noun'), ('같은', 'Adjective'), ('개미', 'Noun'), ('도', 'Josa'), ('1400', 'Number'), ('주', 'Noun'), ('넘게', 'Verb'), ('들고', 'Verb'), ('있는데', 'Adjective')]"
2022-03-30 19:33:00,언론 플레이,"[('언론', 'Noun'), ('플레이', 'Noun')]"
2022-03-30 19:20:00,오늘 들어가야했는데,"[('오늘', 'Noun'), ('들어가야', 'Verb'), ('했는데', 'Verb')]"
2022-03-30 16:48:00,국장이완전개판,"[('국장', 'Noun'), ('이', 'Josa'), ('완전', 'Noun'), ('개판', 'Noun')]"
2022-03-30 16:44:00,시외는 폭락하는거죠,"[('시외', 'Noun'), ('는', 'Josa'), ('폭락', 'Noun'), ('하는거죠', 'Verb')]"
2022-03-30 16:06:00,내일까지 놓칠수 없다면,"[('내일', 'Noun'), ('까지', 'Josa'), ('놓칠수', 'Verb'), ('없다면', 'Adjective')]"
2022-03-30 15:06:00,달리고 달리고,"[('달리', 'Noun'), ('고', 'Josa'), ('달리', 'Noun'), ('고', 'Josa')]"
2022-03-30 14:57:00,건설중인 데이터센터에 왔다,"[('건설', 'Noun'), ('중', 'Suffix'), ('인', 'Josa'), ('데이터', 'Noun'), ('센터', 'Noun'), ('에', 'Josa'), ('왔다', 'Verb')]"
2022-03-30 13:57:00,내리막이냐,"[('내리막', 'Noun'), ('이냐', 'Josa')]"
2022-03-30 14:18:00,내리막이냐,"[('내리막', 'Noun'), ('이냐', 'Josa')]"
2022-03-30 13:56:00,크흐,"[('크흐', 'Noun')]"
2022-03-30 13:55:00,기관연속매쑤연기금투신기타법인은행보험매수,"[('기관', 'Noun'), ('연', 'Modifier'), ('속', 'Modifier'), ('매', 'Noun'), ('쑤', 'Verb'), ('연기금', 'Noun'), ('투신', 'Noun'), ('기타', 'Noun'), ('법인', 'Noun'), ('은행', 'Noun'), ('보험', 'Noun'), ('매수', 'Noun')]"
2022-03-30 13:30:00,40  언제가,"[('40', 'Number'), ('언제', 'Noun'), ('가', 'Josa')]"
2022-03-30 13:25:00,얼레,"[('얼레', 'Noun')]"
2022-03-30 12:52:00,2주후에 보자,"[('2', 'Number'), ('주', 'Modifier'), ('후', 'Noun'), ('에', 'Josa'), ('보자', 'Verb')]"
2022-03-30 12:50:00,엊그제 32층이 이제 마지막 32층이었음,"[('엊그제', 'Noun'), ('32', 'Number'), ('층', 'Noun'), ('이', 'Josa'), ('이제', 'Noun'), ('마지막', 'Noun'), ('32', 'Number'), ('층', 'Noun'), ('이었음', 'Verb')]"
